restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
33,G.B. Bar,,4.5,,169.613636363636,"Italian, Bar, Cafe, Fast Food",1E+040,0,100000000000,0,0,1.000100001E+021,45.46631,9.1923,204,16765,4950
34,Pizzium - Via Procaccini,,4.5,18,123.728,"Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100,1E+023,0,10000000,45.48366,9.17058,91,30985,3850
35,CHIOSCO SQUADRE CALCIO,406,4.5,5,406,"Italian, Bar, Fast Food, Street Food",1E+040,0,100000000000,0,0,1.000000001E+021,45.46948,9.18211,114,18492,6250
36,Pizzeria Snuppi,552,4.5,,552,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,1.00000000001E+022,1E+023,0,10000000,45.45832,9.21048,89,31720,4100
37,Dagli Amici di Patty,340,4.5,33,340,"Italian, Pizza, Seafood, Mediterranean, European, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,1.00000000001E+022,1E+023,0,10100000,45.47369,9.21214,193,62347,4750
38,Pitbeef Milano,72,5,56.5,72,"Barbecue, Steakhouse, Italian, Grill",1E+040,0,100000000000,0,0,1.0000000001E+020,45.48546,9.18961,88,22859,3200
39,Macelleria Equina Da Vito,896,4.5,21.5,896,"Italian, Steakhouse, Mediterranean, Barbecue, Healthy",1.000000001E+040,0,100000000100,0,0,1.00000000001E+020,45.44882,9.13371,36,31176,2000
40,Savana Ristorante Eritreo,,4.5,27,189.8,"African, Ethiopian",1E+078,1E+024,1E+023,0,0,0,45.47907,9.17373,91,30985,3850
41,Chiosco al Politico,311,4.5,,311,"Italian, Fast Food, Brew Pub, Pub",1E+040,0,100000000000,0,0,1.000001000001E+018,45.4684,9.18049,204,16765,4950
42,Tripburger,222,4.5,,222,"Contemporary, Street Food, Dining bars",0,0,0,0,0,1.00100000000001E+016,45.48246,9.197,57,5863,4150
43,Piz,,4.5,16.5,169.613636363636,"Italian, Pizza, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,10000000,45.46192,9.1859,204,16765,4950
44,Kandoo Nippon Restaurant,508,4.5,47.5,508,"Japanese, Seafood, Sushi, Asian, Soups, Fusion",1E+073,1E+019,1.00000001E+018,0,0,110010,45.46198,9.22821,22,19658,3300
45,Un'Altra Pasta,439,4.5,8.5,439,"Italian, Pizza, Fast Food, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,1000010000000,45.46199,9.19406,204,16765,4950
46,Il Principe dei Navigli,,4.5,,169.613636363636,"Italian, Seafood",1E+040,0,100000000000,0,0,100000,45.44726,9.15494,23,13793,3900
47,San Maurì,655,4.5,36,655,"Italian, Seafood, Mediterranean, European, Lombard, Northern-Italian",1.00000000001E+051,0,1.00000000001E+022,1E+021,0,100000,45.46162,9.18517,204,16765,4950
48,Nishiki,,4.5,74.5,239.715384615385,"Japanese, Seafood, Sushi, Asian, Healthy",1E+073,1E+019,10000000000,0,0,1000100010,45.44376,9.21596,37,36129,1900
49,ALventicinque,236,4.5,25,236,"Italian, Mediterranean, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian",1E+060,1000000,100001000100,1000100100000000,0,0,45.45583,9.20441,55,15364,5050
50,Bab,216,4.5,10,216,"Asian, Soups",1E+073,1E+019,0,0,0,10000,45.47789,9.18899,114,18492,6250
51,MooKuzai (A La Carte),781,4.5,59.5,781,"Sushi, Japanese, Asian, Fusion, Healthy",1E+073,1E+019,1.00000001E+018,0,0,1000000010,45.48288,9.15863,13,8863,4200
53,HIMALAYA (NAMASTE),138,4.5,33,138,"Indian, Nepali",1E+043,0,100000000000000,1E+022,0,0,45.49493,9.14667,33,41405,1850
54,Icon Cafe Milano,567,4.5,,567,"Italian, Bar, Cafe, Mediterranean",1.000000001E+040,0,100000000100,0,0,1.0001E+021,45.48579,9.16307,91,30985,3850
55,Pizzium - Isola,269,4.5,,269,"Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100,1E+023,0,10000000,45.48847,9.19461,88,22859,3200
